Account Fax,Account ID,Account Name,Account Number,Account Rating,Account Site,Account Type,Application,Billing City,Billing Country,Billing Geocode Accuracy,Billing State/Province,Create in Zendesk,Created By ID,Created Date,Created Updated Flag,Deleted,Domain Mapping,Industry,Industry(2),Is Demo Center,Jigsaw Company ID,Last Activity,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Sync Date,Last Sync Status,Last Viewed Date,Lead Type,Life Science KeyAccount,Master Record ID,NetSuite Billing Country,NetSuite Customer ID,Notes,Owner ID,Ownership,Parent Account ID,Record Type ID,Reference Customer,Region,Shipping City,Shipping Country,Shipping Geocode Accuracy,Shipping State/Province,Shipping Zip/Postal Code,SIC Code,System Modstamp,Ticker Symbol,Zendesk Organization,Zendesk Organization Id,Zendesk OutofSync,Zendesk Result,Annual Revenue,Billing Latitude,Billing Longitude,Employees,Shipping Latitude,Shipping Longitude
,0013100001VWdHfAAL,Nunc Corp.,,,,,Explosives;Drugs;CWAs,,UNITED STATES,,,FALSE,005i0000000fNkyAAE,7/22/2015 2:31,FALSE,FALSE,,Education,,FALSE,,,00531000007MUoEAAW,1/9/2019 21:33,,,,,,FALSE,,,,,00531000007KgPgAAK,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001VWdHuAAL,Nunc Corp.,,,,Customer,CWAs,Fort Meade,UNITED STATES,,MD,FALSE,005i0000000fNkyAAE,7/22/2015 2:35,FALSE,FALSE,,Education,,FALSE,,6/8/2021,00531000007MUoEAAW,11/25/2020 15:05,,,,,,FALSE,,,,,00531000007KgPgAAK,,,0125A000001NaCTQA0,,,Fort Meade,UNITED STATES,,MD,20755-6603,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001VXN1KAAX,Nunc Corp.,,Warm,,Reseller,CWAs,Itasca,UNITED STATES,,IL,FALSE,005i0000000fNkyAAE,8/5/2015 19:06,FALSE,FALSE,,Education,,FALSE,,2/3/2021,00531000007MUoEAAW,2/18/2020 16:36,,,,,,FALSE,,,,,00531000007KgPgAAK,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001auaBQAAY,Nunc Corp.,,Hot,,,Drugs,Hoover,UNITED STATES,,AL,FALSE,005i0000000fNkyAAE,9/1/2015 2:52,FALSE,FALSE,,Education,,FALSE,,10/6/2020,00531000007MUoEAAW,1/9/2019 19:30,,,,,,FALSE,,,,,00531000007KAsvAAG,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001awhseAAA,Nunc Corp.,,,,,CWAs,Ottawa,CANADA,,,FALSE,005i0000000fNkyAAE,9/16/2015 2:26,FALSE,FALSE,,Education,,FALSE,,7/24/2018,0055A00000BclF5QAJ,4/11/2021 21:04,,,,,,FALSE,,,,,00531000008F2qlAAC,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001bZKDxAAO,Nunc Corp.,,,,,Other,Lyme,UNITED STATES,,NH,FALSE,005i0000000fNkyAAE,9/22/2015 15:39,FALSE,FALSE,,Education,,FALSE,,7/24/2018,00531000007MUoEAAW,1/9/2019 21:46,,,,,,FALSE,,,,,00531000007KgPgAAK,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001bZMFsAAO,Nunc Corp.,,,,,,Gaithersburg,UNITED STATES,,MD,FALSE,005i0000000fNkyAAE,9/22/2015 18:54,FALSE,FALSE,,Education,,FALSE,,7/24/2018,005i0000000fpvQAAQ,5/4/2018 18:07,,,,,,FALSE,,,,,00531000007KgPgAAK,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001bZYGIAA4,Vestibulum Massa Industries,,,,,,Marriottsville,UNITED STATES,,MD,FALSE,005i0000000fNkyAAE,9/23/2015 22:07,FALSE,FALSE,,Electronics,,FALSE,,7/24/2018,005i0000000fpvQAAQ,5/4/2018 18:07,,,,,,FALSE,,,,,005i0000000fNkyAAE,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001bZYVXAA4,Vestibulum Massa Industries,,,,,,Madison,UNITED STATES,,WI,FALSE,005i0000000fNkyAAE,9/23/2015 22:38,FALSE,FALSE,,Electronics,,FALSE,,7/24/2018,005i0000000fpvQAAQ,5/4/2018 18:07,,,,,,FALSE,,,,,005i0000000fNkyAAE,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001cRpCNAA0,Vestibulum Massa Industries,,,,,Explosives;Drugs;CWAs;All Hazards,,UNITED STATES,,NY,FALSE,005i0000006RgPOAA0,10/28/2015 22:12,FALSE,FALSE,,Electronics,,FALSE,,6/9/2021,0055A00000BclF5QAJ,4/16/2021 14:17,,,,,,FALSE,,,,,00531000007Es7rAAC,,0015A00001yWmS8QAK,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001cSxtRAAS,Ut Nisi Corp.,,,,,Explosives;Drugs;All Hazards,Brooklyn,UNITED STATES,,NY,FALSE,005i0000006RgPOAA0,11/6/2015 15:03,FALSE,FALSE,,Telecommunications,,FALSE,,6/8/2021,00531000007KAsvAAG,5/8/2019 16:26,,,,,,FALSE,,,,,00531000007KAsvAAG,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
,0013100001cUmsNAAS,Ut Nisi Corp.,,,,,,,UNITED STATES,,AL,FALSE,005i0000000fNkyAAE,11/18/2015 21:29,FALSE,FALSE,,Telecommunications,,FALSE,,7/24/2018,00531000007MUoEAAW,5/16/2018 0:50,,,,,,FALSE,,,,,00531000007MUoEAAW,,,0125A000001NaCTQA0,,,,,,,,,6/29/2021 20:27,,,,FALSE,,,,,,,
