Created By ID,Created Date,Date,Deleted,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Viewed Date,Line Description,Line Item ID,Opportunity ID,Name (Product),Price Book Entry ID,Product Code,Product ID,System Modstamp,Discount,List Price,Quantity,Sales Price,Sort Order,Subtotal,Total Price
0055A000008zqzaQAA,11/5/2020 13:15,,FALSE,0055A000008zqzaQAA,11/5/2020 13:15,,,,00k5A00000sKtBwQAK,0065A00001bgFNxQAM,SLA: Silver,01u5A000018IUPcQAO,850-00050,01t5A000007ighaQAA,11/5/2020 13:15,,"$4,000.00 ",3,"$4,000.00 ",,"$12,000.00 ","$12,000.00 "
0055A00000BcmLTQAZ,3/10/2021 15:10,,FALSE,0055A00000BcmLTQAZ,3/10/2021 15:11,,,,00k5A00000v1ed2QAA,0065A00001dL9RLQA0,GenWatt Propane 500kW,01u31000012MndZAAS,415-00042,01t31000007WT5yAAG,3/10/2021 15:11,5,$199.00 ,2,$199.00 ,5,$398.00 ,$378.10 
0055A00000BcmLTQAZ,3/10/2021 15:10,,FALSE,0055A00000BcmLTQAZ,3/10/2021 15:11,,,,00k5A00000v1ed0QAA,0065A00001dL9RLQA0,SLA: Platinum,01u5A000017CLgWQAW,820-00807,01t5A000007lypvQAA,3/10/2021 15:11,5,$199.00 ,1,$199.00 ,3,$199.00 ,$189.05 
0055A000009GxI2QAK,6/14/2021 21:47,,FALSE,0055A000009GxI2QAK,6/14/2021 21:47,,,,00k6e00000v3kadAAA,0066e00001eMk29AAC,GenWatt Propane 100kW,01u6e0000195w0rAAA,720-00080,01t6e000008tr9QAAQ,6/14/2021 21:47,76,"$6,250.00 ",1,"$6,250.00 ",,"$6,250.00 ","$1,500.00 "
0055A000008iLoOQAU,8/20/2020 13:18,,FALSE,0055A000008iLoOQAU,8/20/2020 13:18,,,,00k5A00000sJpc5QAC,0065A00001bO565QAC,GenWatt Propane 1500kW,01u5A000018IUPLQA4,850-00034,01t31000007WXnRAAW,8/20/2020 13:18,,$695.00 ,1,$695.00 ,,$695.00 ,$695.00 
0055A000008zqzaQAA,8/20/2020 13:30,,FALSE,0055A000008zqzaQAA,8/20/2020 13:30,,,,00k5A00000sJpcAQAS,0065A00001WkqQrQAJ,GenWatt Diesel 1000kW,01u5A000018IbKWQA0,ZC-TRN-1DUS,01t5A000008sgzMQAQ,8/20/2020 13:30,,"$5,000.00 ",1,"$5,000.00 ",,"$5,000.00 ","$5,000.00 "
0055A000008zqzaQAA,8/20/2020 13:30,,FALSE,0055A000008zqzaQAA,8/20/2020 13:30,,,,00k5A00000sJpcBQAS,0065A00001WkqQrQAJ,SLA: Bronze,01u5A000018IUPEQA4,ZCIM-01-0-0-01,01t31000007WXmiAAG,8/20/2020 13:30,,"$51,250.00 ",1,"$51,250.00 ",,"$51,250.00 ","$51,250.00 "
0055A000008zqzaQAA,8/20/2020 13:08,,FALSE,0055A000008zqzaQAA,8/20/2020 13:08,,,,00k5A00000sJpc0QAC,0065A00001F9PCBQA3,GenWatt Gasoline 750kW,01u5A000018UeVfQAK,850-00058,01t5A000008iQewQAE,8/20/2020 13:08,,"$4,600.00 ",6,"$4,600.00 ",,"$27,600.00 ","$27,600.00 "
0055A000008iLoOQAU,6/15/2021 16:16,,FALSE,0055A000008iLoOQAU,6/15/2021 16:16,,,,00k6e00000v3lDYAAY,0066e00001eMnQzAAK,Installation: Portable,01u5A0000195qkMQAQ,850-00050,01t5A000007ighaQAA,6/15/2021 16:16,,"$4,000.00 ",1,"$4,000.00 ",,"$4,000.00 ","$4,000.00 "
0055A000008iLoOQAU,11/5/2020 18:35,,FALSE,0055A000008iLoOQAU,11/5/2020 18:35,,,,00k5A00000sKtF4QAK,0065A00001cKIcbQAG,SLA: Gold,01u5A000018IUPlQAO,850-00048,01t5A000007m0baQAA,11/5/2020 18:35,,$695.00 ,1,$695.00 ,,$695.00 ,$695.00 
0055A000008iLoOQAU,11/5/2020 18:35,,FALSE,0055A000008iLoOQAU,11/5/2020 18:35,,,,00k5A00000sKtF5QAK,0065A00001cKIcbQAG,GenWatt Propane 100kW,01u5A000018IUPLQA4,850-00034,01t31000007WXnRAAW,11/5/2020 18:35,,$695.00 ,1,$695.00 ,,$695.00 ,$695.00 
0055A00000Bnt5cQAB,7/1/2021 14:16,,FALSE,0055A00000Bnt5cQAB,7/1/2021 14:16,,,,00k6w0000051bABAAY,0066w0000046hj8AAA,GenWatt Propane 1500kW,01u5A0000195qjtQAA,720-00033,01t31000007EKMpAAO,7/1/2021 14:16,,"$10,000.00 ",1,"$10,000.00 ",,"$10,000.00 ","$10,000.00 "
00531000007MUoEAAW,6/25/2020 14:52,,FALSE,00531000007MUoEAAW,6/25/2020 14:52,,,,00k5A00000pnzMxQAI,0065A00001axEQNQA2,GenWatt Diesel 1000kW,01u3100000wybwTAAQ,900-00501,01ti00000069do8AAA,6/25/2020 14:52,,"$6,500.00 ",1,"$6,500.00 ",,"$6,500.00 ","$6,500.00 "
00531000007MUoEAAW,4/1/2021 15:14,,FALSE,00531000007MUoEAAW,5/5/2021 14:19,,,,00k5A00000v1uP3QAI,0065A00001df4G3QAI,SLA: Bronze,01u3100000wybwTAAQ,900-00501,01ti00000069do8AAA,5/5/2021 14:19,,"$6,500.00 ",1,"$6,500.00 ",,"$6,500.00 ","$6,500.00 "
00531000007MUoEAAW,8/17/2020 20:33,,FALSE,00531000007MUoEAAW,8/17/2020 20:33,,,,00k5A00000sJnlvQAC,0065A00001aLiNVQA0,SLA: Silver,01u5A000017emPiQAI,Shipping,01t31000007EJZ4AAO,8/17/2020 20:33,,$350.00 ,1,$450.00 ,6,$450.00 ,$450.00 
0055A00000BNXCfQAP,11/3/2020 0:03,,FALSE,0055A00000BNXCfQAP,11/3/2020 0:03,,,,00k5A00000sKrQZQA0,0065A00001cJWfFQAW,GenWatt Propane 500kW,01u5A000018IUPbQAO,850-00051,01t5A000007ighVQAQ,11/3/2020 0:03,,"$128,000.00 ",1,"$138,000.00 ",1,"$138,000.00 ","$138,000.00 "
0055A000008zqzaQAA,11/4/2019 13:18,,FALSE,0055A000008zqzaQAA,11/4/2019 13:18,,,,00k5A00000psgYqQAI,0065A00001XogEAQAZ,SLA: Platinum,01u5A0000125eSwQAI,ZCAS-TI-01,01t5A000006vyofQAA,11/4/2019 13:18,33,"$49,950.00 ",1,"$49,950.00 ",,"$49,950.00 ","$33,466.50 "
0055A000008iLoOQAU,11/4/2020 14:34,,FALSE,0055A000008iLoOQAU,11/4/2020 14:34,,,,00k5A00000sKsOCQA0,0065A00001cJdIoQAK,GenWatt Propane 100kW,01u5A000018IUPcQAO,850-00050,01t5A000007ighaQAA,11/4/2020 14:34,,"$4,000.00 ",4,"$4,000.00 ",,"$16,000.00 ","$16,000.00 "
00531000007MUoEAAW,4/30/2021 19:34,,FALSE,00531000007MUoEAAW,4/30/2021 19:35,,,,00k6e00000v2FGXAA2,0066e00001e04IFAAY,GenWatt Propane 1500kW,01u5A0000125ZV7QAM,820-00907,01t5A000007xznLQAQ,4/30/2021 19:35,,$39.00 ,1,$39.00 ,2,$39.00 ,$39.00 
00531000007MUoEAAW,4/30/2021 19:34,,FALSE,00531000007MUoEAAW,4/30/2021 19:35,,,,00k6e00000v2FGYAA2,0066e00001e04IFAAY,GenWatt Diesel 1000kW,01u31000012MndZAAS,415-00042,01t31000007WT5yAAG,4/30/2021 19:35,,$199.00 ,1,$199.00 ,3,$199.00 ,$199.00 
00531000007MUoEAAW,4/30/2021 19:33,,FALSE,00531000007MUoEAAW,4/30/2021 19:35,,,,00k6e00000v2FGSAA2,0066e00001e04IFAAY,SLA: Bronze,01u5A00000tbG2bQAE,MX908-01-1-0-03-00,01t5A000006vvhyQAA,4/30/2021 19:35,,"$65,000.00 ",1,"$65,000.00 ",1,"$65,000.00 ","$65,000.00 "
0055A000008iLoOQAU,4/5/2021 20:03,,FALSE,0055A000008iLoOQAU,4/5/2021 20:03,,,,00k5A00000v1vMpQAI,0065A00001dfITsQAM,GenWatt Gasoline 750kW,01u5A0000195qkMQAQ,850-00050,01t5A000007ighaQAA,4/5/2021 20:03,10,"$4,000.00 ",12,"$4,000.00 ",,"$48,000.00 ","$43,200.00 "
00531000007MUoEAAW,4/30/2021 19:35,,FALSE,00531000007MUoEAAW,4/30/2021 19:35,,,,00k6e00000v2FGhAAM,0066e00001e04IFAAY,Installation: Portable,01u3100000wybwTAAQ,900-00501,01ti00000069do8AAA,4/30/2021 19:35,,"$6,500.00 ",1,"$6,500.00 ",5,"$6,500.00 ","$6,500.00 "
00531000007MUoEAAW,4/30/2021 19:34,,FALSE,00531000007MUoEAAW,4/30/2021 19:35,,,,00k6e00000v2FGcAAM,0066e00001e04IFAAY,SLA: Gold,01u5A000017CLgWQAW,820-00807,01t5A000007lypvQAA,4/30/2021 19:35,,$199.00 ,1,$199.00 ,4,$199.00 ,$199.00 
0055A000008iLoOQAU,4/30/2021 18:22,,FALSE,0055A000008iLoOQAU,4/30/2021 18:22,,,,00k6e00000v2FFZAA2,0066e00001e03q6AAA,GenWatt Gasoline 300kW,01u5A0000195qlEQAQ,810-00194,01t31000007WXnCAAW,4/30/2021 18:22,,"$3,795.00 ",1,"$3,795.00 ",,"$3,795.00 ","$3,795.00 "
0055A000008iLoOQAU,4/30/2021 18:03,,FALSE,0055A000008iLoOQAU,6/16/2021 21:03,,,,00k6e00000v2FEvAAM,0066e00001e03knAAA,GenWatt Gasoline 2000kW,01u5A0000195qkMQAQ,850-00050,01t5A000007ighaQAA,6/16/2021 21:03,,"$4,000.00 ",4,"$4,000.00 ",,"$16,000.00 ","$16,000.00 "
00531000007MUoEAAW,5/24/2021 18:39,,FALSE,00531000007MUoEAAW,5/24/2021 19:16,,,,00k6e00000v3YkAAAU,0066e00001eK8LbAAK,Installation: Industrial - Medium,01u5A000017CLgVQAW,820-00807,01t5A000007lypvQAA,5/24/2021 19:16,18,$199.00 ,2,$199.00 ,4,$398.00 ,$326.36 
00531000007MUoEAAW,5/24/2021 18:39,,FALSE,00531000007MUoEAAW,5/24/2021 19:16,,,,00k6e00000v3YkBAAU,0066e00001eK8LbAAK,GenWatt Diesel 200kW,01u5A00000tbFzuQAE,415-00044,01t5A000006vvfsQAA,5/24/2021 19:16,18,$199.00 ,2,$199.00 ,5,$398.00 ,$326.36 
00531000007MUoEAAW,5/24/2021 18:39,,FALSE,00531000007MUoEAAW,5/24/2021 20:25,,,,00k6e00000v3Yk9AAE,0066e00001eK8LbAAK,GenWatt Diesel 10kW,01ui000000re0slAAA,900-00501,01ti00000069do8AAA,5/24/2021 20:25,18,"$6,500.00 ",2,"$6,500.00 ",2,"$13,000.00 ","$10,660.00 "
00531000007MUoEAAW,5/24/2021 18:39,,FALSE,00531000007MUoEAAW,5/24/2021 19:16,,,,00k6e00000v3Yk8AAE,0066e00001eK8LbAAK,GenWatt Diesel 1000kW,01u5A0000195rSNQAY,850-00053,01t5A000008dhS2QAI,5/24/2021 19:16,18,"$6,500.00 ",2,"$6,500.00 ",3,"$13,000.00 ","$10,660.00 "
0055A000008iLoOQAU,4/30/2021 18:34,,FALSE,0055A000008iLoOQAU,4/30/2021 18:34,,,,00k6e00000v2FFeAAM,0066e00001e03tjAAA,SLA: Bronze,01u5A0000195qkTQAQ,850-00048,01t5A000007m0baQAA,4/30/2021 18:34,,$725.00 ,1,$725.00 ,,$725.00 ,$725.00 
00531000007MUoEAAW,5/24/2021 19:15,,FALSE,00531000007MUoEAAW,5/24/2021 19:16,,,,00k6e00000v3YlsAAE,0066e00001eK8LbAAK,GenWatt Gasoline 750kW,01u5A0000195tCcQAI,MX908-01-0-1-03,01t5A000008tjMwQAI,5/24/2021 19:16,18,"$65,000.00 ",2,"$65,000.00 ",1,"$130,000.00 ","$106,600.00 "
0055A000009GxI2QAK,5/17/2021 12:48,,FALSE,0055A000009GxI2QAK,5/17/2021 12:48,,,,00k6e00000v3IKxAAM,0066e00001eJdxdAAC,Installation: Portable,01u31000011MKLHAA4,MX908-01-0-0-00,01t31000007lHiGAAU,5/17/2021 12:48,25,"$65,000.00 ",1,"$65,000.00 ",,"$65,000.00 ","$48,750.00 "
00531000007KAsvAAG,11/3/2020 15:37,,FALSE,00531000007KAsvAAG,11/3/2020 15:37,,,,00k5A00000sKrnoQAC,0065A00001cJZA9QAO,SLA: Gold,01u5A00000tbG2bQAE,MX908-01-1-0-03-00,01t5A000006vvhyQAA,11/3/2020 15:37,1,"$65,000.00 ",1,"$65,000.00 ",,"$65,000.00 ","$64,350.00 "
00531000007KAsvAAG,11/3/2020 15:37,,FALSE,00531000007KAsvAAG,11/3/2020 15:37,,,,00k5A00000sKrnpQAC,0065A00001cJZA9QAO,SLA: Platinum,01u5A00000tbFzvQAE,415-00044,01t5A000006vvfsQAA,11/3/2020 15:37,1,$199.00 ,1,$199.00 ,,$199.00 ,$197.01 
00531000007MUoEAAW,11/18/2019 16:24,,FALSE,00531000007MUoEAAW,11/18/2019 16:24,,,,00k5A00000psyZVQAY,0065A00001Y11n4QAB,GenWatt Propane 100kW,01u3100000wyc1QAAQ,MX908-01-1-0-00-00,01t31000007EKQwAAO,11/18/2019 16:26,,"$65,000.00 ",1,"$65,000.00 ",1,"$65,000.00 ","$65,000.00 "
00531000007MUoEAAW,5/24/2021 19:05,,FALSE,00531000007MUoEAAW,5/24/2021 19:16,,,,00k6e00000v3YlLAAU,0066e00001eK8LbAAK,GenWatt Propane 1500kW,01ui000000re0tdAAA,900-00603,01ti0000006jEVwAAM,5/24/2021 19:16,,"$7,500.00 ",1,"$7,500.00 ",6,"$7,500.00 ","$7,500.00 "
0055A000008zqzaQAA,4/30/2021 20:11,,FALSE,0055A000008zqzaQAA,4/30/2021 20:11,,,,00k6e00000v2FGxAAM,0066e00001e04TDAAY,GenWatt Diesel 1000kW,01u5A0000195r3JQAQ,850-00059,01t5A000008tfLsQAI,4/30/2021 20:11,,"$4,450.00 ",1,"$4,450.00 ",,"$4,450.00 ","$4,450.00 "
0055A000008zqzaQAA,4/30/2021 20:11,,FALSE,0055A000008zqzaQAA,4/30/2021 20:11,,,,00k6e00000v2FGwAAM,0066e00001e04TDAAY,SLA: Bronze,01u5A0000195qkLQAQ,850-00051,01t5A000007ighVQAQ,4/30/2021 20:11,,"$134,400.00 ",1,"$134,400.00 ",,"$134,400.00 ","$134,400.00 "
00531000007KAu8AAG,5/17/2021 9:50,,FALSE,00531000007KAu8AAG,5/17/2021 9:50,,,,00k6e00000v3IJxAAM,0066e00001eJd24AAC,GenWatt Gasoline 750kW,01u5A0000195qlGQAQ,850-00034,01t31000007WXnRAAW,5/17/2021 9:50,,$798.00 ,1,$798.00 ,,$798.00 ,$798.00 
0055A000008zqzaQAA,4/30/2021 20:11,,FALSE,0055A000008zqzaQAA,4/30/2021 20:11,,,,00k6e00000v2FGzAAM,0066e00001e04TDAAY,Installation: Portable,01u5A0000195qkCQAQ,720-00063,01t5A0000073GN8QAM,4/30/2021 20:11,12,"$20,160.00 ",1,"$20,160.00 ",,"$20,160.00 ","$17,740.80 "
00531000007KAu8AAG,5/17/2021 9:50,,FALSE,00531000007KAu8AAG,5/17/2021 9:50,,,,00k6e00000v3IJyAAM,0066e00001eJd24AAC,SLA: Gold,01u5A0000195qlJQAQ,850-00043,01t5A000006vx9WQAQ,5/17/2021 9:50,,"$5,659.00 ",1,"$5,659.00 ",,"$5,659.00 ","$5,659.00 "
0055A000008zqzaQAA,4/30/2021 20:11,,FALSE,0055A000008zqzaQAA,4/30/2021 20:11,,,,00k6e00000v2FGyAAM,0066e00001e04TDAAY,GenWatt Gasoline 300kW,01u5A0000195qkMQAQ,850-00050,01t5A000007ighaQAA,4/30/2021 20:11,,"$4,000.00 ",6,"$4,000.00 ",,"$24,000.00 ","$24,000.00 "
00531000007KAu8AAG,5/17/2021 9:50,,FALSE,00531000007KAu8AAG,5/17/2021 9:50,,,,00k6e00000v3IJvAAM,0066e00001eJd24AAC,Installation: Industrial - Low,01u5A0000195qlEQAQ,810-00194,01t31000007WXnCAAW,5/17/2021 9:50,,"$3,795.00 ",1,"$3,795.00 ",,"$3,795.00 ","$3,795.00 "
00531000007MUoEAAW,5/24/2021 18:52,,FALSE,00531000007MUoEAAW,5/24/2021 18:52,,,,00k6e00000v3YkhAAE,0066e00001eK8UTAA0,GenWatt Gasoline 2000kW,01u5A000017emM2QAI,850-00053,01t5A000008dhS2QAI,5/24/2021 18:52,,"$6,500.00 ",1,"$6,500.00 ",,"$6,500.00 ","$6,500.00 "
00531000007KAu8AAG,5/17/2021 9:50,,FALSE,00531000007KAu8AAG,5/17/2021 9:50,,,,00k6e00000v3IJwAAM,0066e00001eJd24AAC,Installation: Industrial - Medium,01u5A0000195qlgQAA,810-00227,01t5A000007m0bVQAQ,5/17/2021 9:50,,"$5,769.00 ",1,"$5,769.00 ",,"$5,769.00 ","$5,769.00 "
00531000007KAu8AAG,5/17/2021 9:50,,FALSE,00531000007KAu8AAG,5/17/2021 9:50,,,,00k6e00000v3IJuAAM,0066e00001eJd24AAC,GenWatt Diesel 200kW,01u5A0000195qlOQAQ,850-00052,01t5A0000073DalQAE,5/17/2021 9:50,,$798.00 ,1,$798.00 ,,$798.00 ,$798.00 
0055A000008iLoOQAU,11/4/2020 14:13,,FALSE,0055A000008iLoOQAU,11/4/2020 14:13,,,,00k5A00000sKsNnQAK,0065A00001cJdDbQAK,GenWatt Diesel 10kW,01u5A000018IUPcQAO,850-00050,01t5A000007ighaQAA,11/4/2020 14:13,,"$4,000.00 ",2,"$4,000.00 ",,"$8,000.00 ","$8,000.00 "
0055A000009GxI2QAK,5/17/2021 12:43,,FALSE,0055A000009GxI2QAK,5/17/2021 12:43,,,,00k6e00000v3IKnAAM,0066e00001eJdsdAAC,Installation: Industrial - High,01u31000011MKLHAA4,MX908-01-0-0-00,01t31000007lHiGAAU,5/17/2021 12:43,25,"$65,000.00 ",1,"$65,000.00 ",,"$65,000.00 ","$48,750.00 "
00531000007MUoEAAW,10/8/2020 17:56,,FALSE,00531000007MUoEAAW,2/16/2021 19:28,,,,00k5A00000sKPjyQAG,0065A00001bqqp3QAA,SLA: Silver,01u3100000wybwTAAQ,900-00501,01ti00000069do8AAA,2/16/2021 19:28,,"$6,500.00 ",1,"$6,500.00 ",,"$6,500.00 ","$6,500.00 "
00531000007Es7rAAC,5/17/2021 13:15,,FALSE,00531000007Es7rAAC,5/17/2021 13:15,,,,00k6e00000v3ILHAA2,0066e00001eJeAWAA0,GenWatt Propane 500kW,01u5A000017emM2QAI,850-00053,01t5A000008dhS2QAI,5/17/2021 13:15,,"$6,500.00 ",60,"$6,500.00 ",,"$390,000.00 ","$390,000.00 "
0055A00000Bb2djQAB,11/3/2020 14:26,,FALSE,0055A00000Bb2djQAB,11/3/2020 14:26,,,,00k5A00000sKrnUQAS,0065A00001aKoGcQAK,SLA: Platinum,01u5A000018IUP2QAO,720-00033,01t31000007EKMpAAO,11/3/2020 14:26,,"$10,000.00 ",1,"($5,000.00)",,"($5,000.00)","($5,000.00)"
00531000007MUoEAAW,7/20/2020 17:01,,FALSE,00531000007MUoEAAW,7/20/2020 17:01,,,,00k5A00000po9aYQAQ,0065A00001bBPhbQAG,SLA: Silver,01u5A00000tbG2fQAE,MX908-02-1-0-03-00,01t5A000006vvi3QAA,7/20/2020 17:01,,"$71,500.00 ",3,"$71,500.00 ",2,"$214,500.00 ","$214,500.00 "
00531000007MUoEAAW,4/2/2021 15:39,,FALSE,00531000007MUoEAAW,4/2/2021 15:43,,,,00k5A00000v1uj9QAA,0065A00001df8jMQAQ,GenWatt Propane 500kW,01u31000012MndYAAS,415-00042,01t31000007WT5yAAG,4/2/2021 15:43,10,$199.00 ,3,$199.00 ,4,$597.00 ,$537.30 
00531000007MUoEAAW,7/20/2020 17:01,,FALSE,00531000007MUoEAAW,7/20/2020 17:01,,,,00k5A00000po9aZQAQ,0065A00001bBPhbQAG,GenWatt Propane 500kW,01u5A00000tbG2kQAE,MX908-03-1-0-03-00,01t5A000006vvi8QAA,7/20/2020 17:01,,"$78,000.00 ",3,"$78,000.00 ",3,"$234,000.00 ","$234,000.00 "
0055A000008iLoOQAU,2/23/2021 0:31,,FALSE,0055A000008iLoOQAU,2/23/2021 0:31,,,,00k5A00000v1SfaQAE,0065A00001dIu5UQAS,GenWatt Propane 100kW,01u5A0000195qkMQAQ,850-00050,01t5A000007ighaQAA,2/23/2021 0:31,5,"$4,000.00 ",12,"$4,000.00 ",,"$48,000.00 ","$45,600.00 "
